G3XCP0,0.218, 0.234, 1.000,142,1
Q2VLK8,0.342, 0.330, 0.173,442,1
Q4CK85,0.760, 1.000, 0.982,71,0
Q4CK86,0.000, 0.057, 1.000,140,1
Q4CK87,0.040, 0.225, 1.000,176,2
Q4CK88,0.216, 0.660, 0.875,259,2
Q4CK89,0.026, 0.587, 1.000,264,1
Q4CK90,0.137, 0.231, 0.701,292,3
Q4CK91,0.030, 0.259, 1.000,267,2
Q4CK92,0.265, 0.699, 0.653,249,2
Q4CK93,0.346, 0.630, 0.610,318,1
Q4CK94,0.050, 0.123, 1.000,162,1
Q4CK95,0.084, 0.192, 0.821,335,3
Q4CK96,0.543, 1.000, 0.842,70,0
Q4CK97,0.028, 0.128, 1.000,145,1
Q4CK98,0.165, 0.303, 0.424,273,1
Q4CK99,0.003, 0.270, 1.000,338,2
Q4CKA0,0.053, 0.371, 0.604,339,2
Q4CKA1,0.089, 0.369, 0.764,339,3
Q4CKA2,0.017, 0.266, 1.000,353,2
Q4CKA3,0.889, 0.946, 0.516,172,0
Q4CKA4,0.189, 0.506, 0.762,354,2
Q4CKA5,0.077, 0.417, 1.000,39,0
Q4CKA6,0.221, 0.535, 0.697,356,3
Q4CKA7,0.872, 1.000, 0.193,358,1
Q4CKA8,0.155, 0.226, 0.587,110,1
Q4CKA9,0.369, 0.553, 0.409,312,3
Q4CKB0,0.875, 1.000, 0.579,136,0
Q4CKB1,0.082, 0.144, 0.549,243,2
Q4CKB2,0.983, 0.000, 0.663,181,0
Q4CKB3,0.153, 0.140, 1.000,59,1
Q4CKB4,0.236, 0.352, 0.119,216,1
Q4CKB5,0.047, 0.239, 0.702,364,2
Q4CKB6,0.120, 0.332, 0.433,366,3
Q4CKB7,0.199, 0.572, 0.618,277,3
Q4CKB8,0.257, 0.331, 0.977,167,2
Q4CKB9,0.348, 0.057, 0.293,244,2
Q4CKC0,0.729, 0.845, 0.139,288,1
Q4CKC1,0.377, 0.333, 0.361,323,1
Q4CKC2,0.052, 0.184, 0.423,372,4
Q4CKC3,0.237, 0.235, 0.506,274,3
Q4CKC4,1.000, 0.000, 0.717,46,0
Q4CKC5,0.406, 0.288, 0.389,310,4
Q4CKC6,0.289, 0.470, 0.284,377,2
Q4CKC7,0.525, 1.000, 0.855,198,1
Q4CKC8,0.711, 1.000, 0.651,121,0
Q4CKC9,0.271, 0.438, 0.332,210,1
Q4CKD0,0.664, 1.000, 0.857,116,0
Q4CKD1,0.091, 0.150, 1.000,22,0
Q4CKD2,0.392, 0.621, 0.533,382,3
Q4CKD3,0.058, 0.159, 1.000,173,2
Q4CKD4,0.839, 0.000, 0.959,87,0
Q4CKD5,0.090, 0.311, 1.000,244,2
Q4CKD6,0.074, 0.376, 0.838,258,2
Q4CKD7,0.087, 0.182, 1.000,392,1
Q4CKD8,0.085, 0.115, 1.000,153,1
Q4CKD9,0.237, 0.459, 0.709,346,2
Q4CKE0,0.208, 0.193, 0.457,222,1
Q4CKE1,0.276, 0.728, 0.504,395,3
Q4CKE2,0.616, 0.987, 0.422,396,3
Q4CKE3,0.149, 0.159, 1.000,74,1
Q4CKE4,0.827, 1.000, 0.320,272,1
Q4CKE5,1.000, 0.000, 0.098,399,0
Q4CKE6,0.511, 0.369, 0.591,172,1
Q4CKE7,0.094, 0.185, 0.766,401,3
Q4CKE8,0.604, 0.904, 0.937,53,0
Q4CKE9,0.555, 0.692, 0.969,117,0
Q4CKF0,0.755, 1.000, 0.935,204,0
Q4CKF1,0.077, 0.208, 0.325,402,2
Q4CKF2,0.280, 1.000, 1.000,25,0
Q4CKF3,0.250, 0.604, 0.604,192,2
Q4CKF4,1.000, 0.000, 0.019,154,0
Q4CKF5,1.000, 0.000, 0.587,269,1
Q4CKF6,0.085, 0.098, 0.400,409,2
Q4CKF7,0.310, 0.558, 0.229,410,2
Q4CKF8,0.342, 0.526, 0.450,356,3
Q4CKF9,0.100, 0.434, 1.000,110,1
Q4CKG0,0.293, 0.386, 0.509,410,5
Q4CKG1,0.273, 0.578, 0.890,202,2
Q4CKG2,0.278, 0.570, 0.295,316,3
Q4CKG3,0.707, 0.785, 0.407,413,2
Q4CKG4,0.474, 0.905, 0.521,300,3
Q4CKG5,0.000, 0.163, 1.000,129,1
Q4CKG6,0.594, 0.638, 0.646,224,1
Q4CKG7,0.072, 0.169, 0.264,414,2
Q4CKG8,0.651, 0.926, 0.562,383,2
Q4CKG9,0.275, 1.000, 0.665,142,0
Q4CKH0,0.211, 0.760, 0.474,270,3
Q4CKH1,0.101, 0.317, 0.663,417,3
Q4CKH2,0.407, 0.492, 0.381,103,0
Q4CKH3,0.530, 0.891, 0.123,415,2
Q4CKH4,0.042, 0.133, 1.000,71,1
Q4CKH5,0.800, 1.000, 0.690,105,0
Q4CKH6,0.353, 0.263, 0.459,241,3
Q4CKH7,0.636, 0.000, 1.000,33,0
Q4CKH8,0.005, 0.352, 1.000,422,3
Q4CKH9,0.016, 0.102, 1.000,422,2
Q4CKI0,0.012, 0.041, 1.000,169,1
Q4CKI1,0.192, 0.201, 0.385,296,1
Q4CKI2,0.423, 0.429, 0.305,425,3
Q4CKI3,0.310, 0.986, 0.484,306,2
Q4CKI4,0.207, 0.634, 0.932,290,4
Q4CKI5,0.550, 0.249, 0.367,178,1
Q4CKI7,0.143, 0.233, 0.622,426,1
Q4CKI8,0.084, 0.233, 1.000,155,3
Q4CKI9,0.497, 0.421, 0.320,364,3
Q4CKJ0,0.185, 0.340, 1.000,119,2
Q4CKJ1,0.116, 0.203, 0.810,139,1
Q4CKJ2,0.051, 0.283, 0.412,432,2
Q4CKJ3,0.296, 0.714, 0.328,433,3
Q4CKJ4,0.774, 1.000, 0.671,216,0
Q4CKJ5,0.794, 1.000, 0.126,432,1
Q4CKJ6,0.504, 0.847, 0.367,433,3
Q4CKJ7,0.011, 0.130, 1.000,278,1
Q4CKJ8,0.101, 0.161, 0.317,434,2
Q4CKJ9,0.230, 0.455, 0.774,174,1
Q4CKK0,0.621, 0.642, 0.267,435,3
Q4CKK1,0.457, 0.686, 0.425,217,2
Q4CKK2,1.000, 0.000, 0.248,141,0
Q4CKK3,0.575, 0.958, 0.511,228,1
Q4CKK4,0.140, 0.281, 0.843,178,1
Q4CKK5,0.655, 1.000, 0.913,122,0
Q4CKK6,0.528, 0.336, 0.328,220,1
Q4CKK7,0.447, 0.917, 0.313,437,3
Q4CKK8,0.659, 0.416, 0.129,282,1
Q4CKK9,0.932, 0.000, 0.601,218,0
Q4CKL0,0.755, 0.885, 0.403,319,1
Q4CKL1,0.263, 0.171, 0.825,175,1
Q4CKL2,0.272, 0.483, 0.684,279,2
Q4CKL3,0.853, 1.000, 0.433,252,0
Q4CKL4,0.167, 0.377, 0.784,443,4
Q4CKL5,0.081, 0.228, 0.691,444,3
Q4CKL6,0.746, 1.000, 0.164,229,0
Q4CKL7,0.023, 0.063, 1.000,129,1
Q4CKL8,1.000, 0.000, 0.264,197,0
Q4CKL9,0.826, 1.000, 0.602,167,0
Q4CKM0,0.121, 0.158, 0.628,288,1
Q4CKM1,0.103, 0.324, 0.612,447,3
Q4CKM2,0.176, 0.377, 0.500,193,1
Q4CKM3,1.000, 0.000, 0.000,273,0
Q4CKM4,0.602, 1.000, 0.676,123,0
Q4CKM5,0.257, 0.673, 0.553,218,2
Q4CKM6,0.223, 0.659, 0.426,452,4
Q4CKM7,0.989, 0.000, 0.121,283,0
Q4CKM8,0.343, 0.225, 0.236,454,1
Q4CKM9,0.971, 0.000, 0.570,275,0
Q4CKN0,0.946, 1.000, 0.428,425,0
Q4CKN1,0.903, 0.000, 0.557,155,0
Q4CKN2,0.267, 0.454, 0.749,75,1
Q4CKN3,0.773, 0.930, 0.551,251,2
Q4CKN4,0.740, 1.000, 0.442,196,0
Q4CKN5,0.650, 0.720, 0.849,143,0
Q4CKN6,0.250, 0.077, 0.968,120,1
Q4CKN7,0.204, 0.513, 0.750,98,1
Q4CKN8,0.191, 0.354, 0.534,461,4
Q4CKN9,0.376, 1.000, 0.769,149,2
Q4CKP1,0.691, 1.000, 0.357,178,1
Q4CKP2,1.000, 0.000, 0.000,95,0
Q4CKP3,0.786, 0.000, 0.836,70,0
Q4CKP4,1.000, 0.000, 0.143,168,0
Q4CKP5,0.486, 1.000, 0.224,138,0
Q4CKP6,0.421, 0.832, 0.489,413,1
Q4CKP7,0.584, 1.000, 0.500,154,1
Q4CKP8,0.960, 0.000, 0.392,149,0
Q4CKP9,0.000, 0.189, 1.000,465,1
Q4CKQ0,0.990, 0.000, 0.395,207,0
Q4CKQ1,0.394, 0.282, 0.525,193,1
Q4CKQ2,0.146, 0.700, 0.795,199,1
Q4CKQ3,0.868, 1.000, 0.568,152,0
Q4CKQ4,0.986, 0.000, 0.490,147,0
Q4CKQ5,0.472, 0.271, 0.258,286,1
Q4CKQ6,0.081, 0.156, 0.543,433,2
Q4CKQ7,0.269, 0.800, 0.665,212,1
Q4CKQ8,0.566, 1.000, 0.555,290,1
Q4CKQ9,0.967, 0.000, 0.778,121,0
Q4CKR0,0.261, 0.627, 0.456,261,3
Q4CKR1,0.032, 0.033, 1.000,190,1
Q4CKR2,0.065, 0.480, 0.862,321,3
Q4CKR3,0.047, 0.317, 0.596,470,2
Q4CKR4,0.800, 0.525, 0.786,105,0
Q4CKR5,0.940, 0.000, 0.588,266,0
Q4CKR6,0.042, 0.252, 0.405,480,2
